file	replicate	target	read_count
ENCFF113IWI	1	DNase-seq	3842504414
ENCFF939FHU	2	DNase-seq	2688120976
ENCFF000TJM	1	FAIRE-seq	1609848822
ENCFF000TJO	2	FAIRE-seq	2020346276
ENCFF066BXL	1	DNase-seq	1385457198
ENCFF688AHB	2	DNase-seq	1439508992
